x y s dx dy
4.53582 -1.40875 4.74955 0.809678 -0.586875
3.74852 -0.790874 5.75036 0.784995 -0.619502
2.954 -0.156387 6.76713 0.806774 -0.590861
2.11298 0.40853 7.78027 0.841849 -0.539714
1.25056 0.963148 8.80564 0.833689 -0.552234
0.417898 1.54456 9.8212 0.80936 -0.587313
-0.391625 2.15396 10.8345 0.805418 -0.592707
-1.19683 2.75562 11.8396 0.802416 -0.596765
-2.01261 3.38709 12.8713 0.80188 -0.597485
-2.81206 3.98968 13.8724 0.798979 -0.601359
-3.60329 4.60146 14.8725 0.804527 -0.593917
-4.43217 5.1951 15.8921 0.828563 -0.559895
-5.29112 5.76848 16.9248 0.825945 -0.563751
-6.17325 6.40678 18.0136 0.815409 -0.578886
-7.03031 7.03691 19.0774 0.812838 -0.58249
-7.91441 7.68498 20.1736 0.813906 -0.580997
-7.92203 7.69155 20.1837 0.813938 -0.580951
-7.92039 7.6902 20.1858 0.813981 -0.580891
-8.74494 8.28606 21.2031 0.814401 -0.580302
-8.74316 8.28459 21.2054 0.814452 -0.580231
-9.59598 8.90476 22.2599 0.820371 -0.571832
-9.59435 8.90341 22.262 0.820423 -0.571756
-10.4388 9.47161 23.2798 0.82418 -0.566327
-11.2432 10.0565 24.2744 0.803014 -0.595961
-12.038 10.6525 25.2679 0.799261 -0.600985
-12.8494 11.2575 26.28 0.811388 -0.584508
-13.6783 11.8462 27.2967 0.814152 -0.580652
-14.4985 12.4652 28.3242 0.807457 -0.589926
-15.3057 13.0503 29.3212 0.80789 -0.589334
-16.1393 13.6524 30.3495 0.814171 -0.580625
-16.9703 14.2447 31.3699 0.817037 -0.576586
-17.7931 14.8285 32.3788 0.816954 -0.576703
-18.6006 15.4098 33.3737 0.811888 -0.583813
-19.4074 16.002 34.3746 0.796013 -0.605279
-19.4053 16.0004 34.3772 0.796091 -0.605177
-20.1841 16.6321 35.38 0.798272 -0.602297
-20.9843 17.2163 36.3707 0.800013 -0.599982
-20.2065 16.5544 37.3921 -0.80994 0.586512
-19.3763 15.9704 38.4071 -0.811988 0.583675
