x y z yaw
-0.685873 -0.001389 -0.649862 -0.000473
-0.270847 0.024446 -0.652417 0.001626
0.192316 0.008758 -0.648671 0.007573
0.499795 0.004024 -0.655204 0.032372
0.860515 0.010428 -0.660142 0.077341
1.236317 0.041554 -0.665509 0.107907
1.589198 0.087826 -0.663510 0.115961
1.976853 0.155546 -0.674097 0.124327
2.348339 0.193209 -0.675870 0.130475
2.750691 0.263476 -0.677638 0.137720
3.149905 0.315285 -0.674176 0.139741
3.518233 0.375046 -0.674830 0.135060
3.938677 0.442903 -0.684328 0.117634
4.305262 0.477654 -0.698574 0.108145
4.684564 0.529723 -0.694971 0.108030
5.102327 0.583228 -0.695998 0.110377
5.458589 0.609575 -0.697252 0.110639
5.876851 0.672955 -0.697945 0.112898
6.310944 0.728897 -0.697760 0.115484
6.738739 0.786038 -0.695628 0.116514
7.174032 0.829248 -0.690408 0.119588
7.619481 0.910661 -0.704197 0.120479
8.029988 0.959718 -0.696855 0.123128
8.458244 1.004690 -0.689625 0.124105
8.932760 1.070938 -0.697667 0.126808
9.395473 1.141043 -0.690102 0.128445
9.829385 1.194036 -0.691162 0.129996
10.271887 1.239931 -0.689213 0.135139
10.735329 1.310828 -0.692182 0.147327
11.178313 1.348669 -0.683052 0.162084
11.638237 1.442679 -0.682150 0.169149
12.091725 1.531844 -0.667724 0.177612
12.540211 1.589939 -0.666789 0.183858
13.009117 1.698111 -0.672022 0.190655
13.471757 1.771757 -0.662111 0.198356
13.908259 1.885350 -0.670955 0.205255
14.391603 2.013658 -0.653306 0.214405
14.843790 2.091019 -0.653413 0.220965
15.296793 2.235956 -0.664466 0.227649
15.659137 2.299525 -0.651645 0.232883
16.485397 2.430533 -0.575072 0.243747
16.950488 2.590829 -0.589973 0.246787
17.411395 2.733186 -0.664682 0.254043
18.097579 2.922953 -0.615293 0.262166
18.493922 3.028874 -0.648292 0.266791
18.959491 3.140482 -0.601641 0.271884
19.411600 3.301144 -0.586093 0.276695
20.018776 3.476502 -0.597888 0.270772
20.463719 3.622106 -0.578441 0.261796
21.040731 3.762879 -0.599774 0.246823
21.494744 3.891918 -0.580842 0.242759
21.913946 3.975577 -0.580142 0.243489
22.337576 4.080549 -0.578604 0.245649
22.772606 4.190961 -0.571738 0.242231
23.207112 4.300206 -0.569295 0.230053
23.677772 4.419533 -0.543823 0.218918
24.111420 4.520644 -0.568995 0.214348
24.568120 4.652074 -0.564803 0.216089
25.003911 4.750975 -0.562817 0.216965
25.467869 4.867141 -0.546467 0.220150
25.928310 4.937729 -0.524076 0.222539
26.378506 5.057208 -0.524655 0.223088
26.837096 5.158017 -0.509292 0.225677
27.278086 5.269159 -0.492575 0.226995
27.738954 5.379272 -0.493559 0.228992
28.184241 5.454581 -0.470015 0.234214
28.633393 5.577257 -0.473719 0.241154
29.287127 5.754006 -0.453323 0.250636
29.961318 5.900251 -0.436066 0.260721
30.434483 6.063570 -0.433821 0.267934
30.900412 6.162641 -0.416073 0.274428
31.342373 6.322959 -0.386607 0.267593
31.817177 6.409588 -0.369149 0.258798
32.268689 6.594611 -0.383969 0.247730
32.727892 6.702780 -0.371890 0.248647
33.160099 6.811692 -0.357779 0.249365
33.851711 7.015985 -0.340828 0.251430
34.295564 7.122401 -0.330945 0.251681
34.771920 7.241148 -0.311750 0.249611
35.205967 7.356524 -0.306752 0.241424
35.669263 7.475794 -0.293964 0.232280
36.128695 7.591173 -0.288471 0.229476
36.547258 7.635913 -0.274821 0.229953
37.008345 7.746237 -0.281470 0.242166
37.502222 7.918433 -0.225106 0.247824
