dR dT
1.08386 3.88887
0.579167 1.1939
0.46758 4.74335
1.08836 12.6491
0.0670632 1.06772
0.0641148 0.750975
0.439889 5.65267
0.180768 5.11354
0.0825205 4.62822
0.0540862 3.36992
0.250656 9.99483
0.065061 0.204529
0.00493537 0.118308
0.0284556 0.15082
0.0450543 0.137538
0.046827 0.166768
0.0385804 0.300404
0.00478545 0.0224326
0.0162611 0.0742362
0.00477545 0.0485863
0.00323211 0.00678709
0.0323044 0.0201198
0.0154577 0.0366379
0.00764246 0.0780701
0.0049504 0.0220694
0.0277247 0.170529
0.0162062 0.0413192
0.00477221 0.025216
0.0119714 0.0851195
0.0110371 0.0362992
0.0195558 0.0153217
0.0301684 0.0485199
0.0272291 0.0719298
0.0152353 0.0488646
0.0198051 0.0481247
0.0375523 0.0465679
0.0259422 0.0135143
0.0180112 0.0754747
0.0124223 0.0555028
0.010829 0.04912
0.00249925 0.0364981
0.0225574 0.164123
0.00159259 0.0791157
0.0182827 0.0763716
0.00644836 0.0249907
0.0421555 0.346086
0.0180512 0.104312
0.00935152 0.0449821
0.00382759 0.040455
0.00352753 0.048382
0.00328209 0.0287378
0.00798247 0.0199766
0.0167298 0.110399
0.023273 0.0863127
0.0101077 0.023439
0.0102547 0.0457188
0.0334695 0.0177831
0.0229799 0.017156
0.00557396 0.0892963
0.0170297 0.232865
0.0383557 0.239843
0.00537242 0.0402978
0.021862 0.181916
0.00418216 0.0406631
0.00442412 0.031275
0.0112675 0.0855941
0.00850754 0.0399944
0.00243758 0.034433
0.00226601 0.0815655
0.00656316 0.0192448
0.0508229 0.339616
0.0299632 0.292888
0.0124483 0.0596035
0.00596837 0.126058
0.00938928 0.0244424
0.0148099 0.101079
0.00765239 0.0351245
0.0253986 0.0341796
0.00456471 0.0300459
0.0264076 0.11298
0.0352382 0.0263049
0.0132315 0.0499567
0.0122059 0.0271934
0.00226799 0.0321788
0.0122503 0.0437878
0.0335582 0.0393549
0.0310722 0.205711
0.0126934 0.0284441
0.0033219 0.0155095
0.00966946 0.149729
0.00766462 0.0475062
0.00549298 0.0845293
0.0159949 0.0418346
0.0139709 0.043691
0.0220742 0.0875485
0.00952317 0.0391693
0.019221 0.0871661
0.0236839 0.115854
0.0641494 0.218754
0.0277721 0.0294237
0.0326037 0.0453332
0.00418432 0.041503
0.0207608 0.358024
0.0226331 0.0665255
0.0075525 0.049212
0.00991339 0.00942914
0.000951913 0.020265
0.0300817 0.215759
0.01956 0.0257664
0.015068 0.0339701
0.00780059 0.0118022
0.00840816 0.0262514
0.0674845 0.358236
0.0376373 0.0192057
0.0153398 0.0214968
