x y z yaw
-0.700330 0.000026 -0.650003 0.000058
-0.361147 0.012041 -0.627526 -0.018878
0.082869 0.002539 -0.613038 -0.045876
0.520355 -0.009478 -0.612794 -0.041226
1.023197 -0.010556 -0.606486 -0.115979
1.506733 -0.067676 -0.618829 -0.255725
2.014703 -0.174595 -0.616660 -0.407494
2.518611 -0.386023 -0.608601 -0.567499
2.785229 -0.551369 -0.604324 -0.635128
2.518289 -0.322821 -0.608932 -0.719759
2.318733 -0.067603 -0.588135 -0.811028
2.670933 -0.406347 -0.602927 -0.951150
2.980902 -0.844799 -0.595367 -1.110822
3.223737 -1.317477 -0.607649 -1.273849
3.399715 -1.848150 -0.627613 -1.437086
3.475558 -2.386395 -0.603155 -1.557179
3.496475 -2.936517 -0.647168 -1.598683
3.495770 -3.474884 -0.618532 -1.749263
3.399298 -4.000595 -0.591691 -1.818588
3.259205 -4.524640 -0.614209 -1.791316
3.168633 -5.043536 -0.598593 -1.863416
3.009361 -5.576177 -0.598598 -2.024036
2.789475 -6.070978 -0.591411 -2.187116
2.472177 -6.521050 -0.572937 -2.341876
2.103554 -6.914279 -0.571180 -2.503077
1.676641 -7.241197 -0.582129 -2.659886
1.205214 -7.503903 -0.575433 -2.818405
0.690616 -7.699173 -0.587747 -2.976762
0.216373 -7.764940 -0.575313 -3.116168
0.555003 -7.801480 -0.581552 3.083498
1.097283 -7.904119 -0.576408 2.942956
0.681584 -7.843713 -0.581556 2.764565
0.158663 -7.646987 -0.589553 2.598418
-0.300666 -7.364906 -0.607325 2.438157
-0.735514 -7.020066 -0.616649 2.279812
-1.077090 -6.618865 -0.642621 2.120353
-1.374524 -6.167003 -0.655940 1.959581
-1.604383 -5.673833 -0.661017 1.802019
-1.726769 -5.145293 -0.688351 1.641382
-1.780197 -4.623702 -0.681955 1.482171
-1.739369 -4.090097 -0.710556 1.323345
-1.613492 -3.580793 -0.742063 1.191703
-1.428804 -3.072259 -0.760857 1.041046
-1.724299 -3.402540 -0.737568 0.851519
-1.546554 -3.139953 -0.744382 0.736671
-1.155308 -2.769515 -0.750310 0.578149
-0.727183 -2.480421 -0.719025 0.460928
-0.293227 -2.273901 -0.722116 0.562337
0.127487 -2.021908 -0.738830 0.692925
0.529721 -1.716404 -0.786363 0.823316
0.864444 -1.343602 -0.765816 0.953252
1.075153 -1.012904 -0.705192 0.909067
1.280192 -0.769285 -0.682764 0.810964
1.042464 -0.973829 -0.654126 0.742398
1.327405 -0.661301 -0.622789 0.629847
1.740838 -0.357752 -0.594771 0.484120
1.382951 -0.530634 -0.558026 0.409214
1.834559 -0.304939 -0.525660 0.282340
1.272950 -0.304549 -0.475998 0.050623
0.732368 -0.263037 -0.459606 -0.090653
0.232115 -0.119672 -0.438868 -0.235292
0.506729 -0.215539 -0.368369 -0.266953
0.154413 -0.177890 -0.344902 -0.184863
-0.343188 -0.153302 -0.320354 -0.039277
-0.302774 -0.153610 -0.016981 0.007442
