dR dT
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0.310183 3.30728
0.455086 3.48873
0.574638 4.72256
0.122678 3.32066
0.243402 4.57018
0.164369 1.70533
0.400766 1.31933
0.178099 0.72435
0.0462429 1.12519
0.170564 1.8002
0.210952 1.74836
0.0724851 0.377949
0.0296046 0.211937
0.316522 1.50711
0.0512985 0.423921
0.103171 1.42437
0.0639103 0.568922
0.0564786 0.777107
0.063023 0.867929
0.0717917 0.437306
0.0852746 0.553174
0.212357 0.806357
0.0830009 0.427733
0.0749252 0.92757
0.086661 0.619912
0.0729506 0.172848
0.121456 1.81648
0.0344631 0.330113
0.124767 0.866955
0.0566194 0.286383
0.039522 0.81738
0.066598 1.34986
0.113683 0.66069
0.0541014 1.41337
0.0519764 0.441233
0.202483 0.694964
0.0626124 0.545376
0.0172608 0.260002
0.0256169 0.493891
0.0681958 0.431608
0.0540375 0.545065
0.0109477 0.413292
0.0547913 0.505604
0.0188113 0.234817
0.0413818 0.36321
0.0582647 0.20749
0.0230012 0.133318
0.0598708 0.51624
0.0834673 0.712276
0.0476568 0.442435
0.0343489 0.508405
0.0946917 0.526199
0.0801927 0.900674
0.145716 0.437642
0.0219982 0.0207844
0.0301385 0.659175
0.0680631 0.229508
0.267163 2.08858
0.0994322 1.23883
0.171201 1.48895
0.100046 0.558252
0.111412 0.737379
0.139917 1.52002
0.0864515 0.71999
0.0890463 0.951547
0.0255858 0.34923
0.0325733 0.618511
0.1328 0.339012
0.0970969 0.36676
0.118056 0.436124
0.0272168 0.431856
0.0491502 0.303
0.153094 1.45575
0.0167829 0.408874
0.00472585 0.2194
0.0212483 0.340068
0.0631565 0.845496
0.107225 0.0478248
0.0802229 0.483805
0.0545769 0.595503
0.0396944 0.194773
0.0806692 0.426779
0.126938 0.497452
0.0435192 0.540757
0.087136 0.868976
0.116977 1.36562
0.0445418 0.388972
0.0833573 1.12961
0.0332943 0.482689
0.0869786 1.28359
0.0534825 0.584325
0.0179956 0.173043
0.093271 0.654927
0.0830633 1.23146
0.13805 0.813575
0.0856745 1.30936
0.105072 0.918211
0.0667517 1.3302
0.0778827 0.632172
0.0411003 0.408722
0.0894266 0.138843
0.121505 0.650322
