x y z yaw
0.023625 -0.005034 0.000083 0.000246
0.341913 0.006340 -0.001733 0.030886
0.684162 0.029752 -0.005631 0.062018
1.042958 0.087303 -0.007371 0.072399
1.629500 0.143698 0.004597 0.090315
2.020571 0.183802 -0.017107 0.099183
2.389424 0.190421 -0.009908 0.108966
2.811189 0.276230 0.000311 0.117803
3.225405 0.326900 -0.008948 0.127190
3.692890 0.403803 -0.006759 0.129673
4.104879 0.432390 0.055203 0.123059
4.559653 0.508564 0.049182 0.114196
5.037236 0.567028 0.055499 0.100968
5.492608 0.594274 0.097420 0.085957
5.976110 0.612408 0.031128 0.070088
6.463532 0.652765 -0.009355 0.056704
6.966494 0.693867 0.017618 0.042177
7.445625 0.700597 0.037022 0.025353
7.939177 0.708598 0.015788 0.006879
8.415917 0.717190 0.005977 -0.006439
8.869656 0.696953 0.010606 -0.017090
9.346284 0.692667 0.035498 -0.026138
9.805483 0.690248 0.032255 -0.035761
10.261924 0.658607 0.008379 -0.043997
10.773755 0.624856 0.041633 -0.053319
11.211702 0.602711 0.036861 -0.062522
11.693595 0.560003 0.046012 -0.077083
12.143318 0.518047 0.060298 -0.096086
12.616032 0.460606 0.062363 -0.112759
13.088954 0.383992 0.091413 -0.128340
13.587984 0.340443 0.089729 -0.145678
14.087474 0.245718 0.089820 -0.163680
14.598036 0.174516 0.085497 -0.184186
15.058676 0.044778 0.107727 -0.205123
15.531523 -0.045942 0.095797 -0.228077
16.021967 -0.195241 0.128177 -0.262415
16.499199 -0.333224 0.124302 -0.300054
16.972076 -0.502130 0.119525 -0.338624
17.418682 -0.695967 0.135148 -0.376244
17.879797 -0.881772 0.140841 -0.411493
18.313606 -1.099007 0.127180 -0.443999
18.776999 -1.320256 0.150228 -0.477651
19.448803 -1.695444 0.149479 -0.538328
19.859209 -1.999614 0.185253 -0.569991
20.278515 -2.278159 0.156732 -0.597646
20.696791 -2.588616 0.210928 -0.627568
21.117069 -2.909951 0.192156 -0.664773
