x y z yaw
-0.0126993 -0.0128595 -0.00122398 0.00129962
-0.0126977 -0.0128527 -0.00124366 0.00131141
-0.0126956 -0.0128432 -0.00127963 0.00131365
-0.01269 -0.0128312 -0.00131594 0.00126737
-0.0126859 -0.0128223 -0.00132971 0.00124012
-0.0126855 -0.0128163 -0.00133443 0.00122381
-0.012687 -0.0128149 -0.00135089 0.00126124
-0.0249728 -0.0342726 -0.00235048 -0.00112756
-0.0262303 -0.0364689 -0.00246697 -0.00111154
-0.0276488 -0.0389462 -0.00258245 -0.00114743
-0.0288213 -0.040997 -0.00266755 -0.0011292
-0.0300233 -0.0431053 -0.00276152 -0.00110434
-0.0314605 -0.0456337 -0.00289621 -0.00107353
-0.0326152 -0.0476654 -0.003025 -0.00106024
-0.0338119 -0.0497679 -0.00316718 -0.00110893
-0.035259 -0.0522999 -0.00332614 -0.00117677
-0.0420264 -0.0233019 -0.00240209 0.00110567
-0.0438707 -0.0224171 -0.00241744 0.00111104
-0.0460484 -0.02138 -0.00244863 0.00111381
-0.0478211 -0.0205403 -0.00247247 0.00111671
-0.0496738 -0.019666 -0.00248363 0.00113747
-0.0518628 -0.0186311 -0.00250546 0.0011937
-0.0536403 -0.0177834 -0.00254587 0.00122717
-0.0554598 -0.0169046 -0.00260381 0.00123095
-0.0575633 -0.0158668 -0.00270626 0.00119701
-0.0350223 -0.018305 -0.00149807 0.000141536
-0.0346156 -0.0177855 -0.00106845 -0.000743347
-0.0342714 -0.0170919 -0.000232966 -0.000515327
-0.0340852 -0.0164774 0.000454028 -0.000315684
-0.0339352 -0.015844 0.00122868 -0.000299455
-0.0338285 -0.015071 0.00186577 -0.000158769
-0.0337844 -0.0144163 0.00227163 -0.000462724
-0.0337228 -0.0137291 0.0028165 -0.000336418
-0.0335812 -0.0129424 0.00327582 -0.000493873
-0.0334254 -0.0123325 0.00350667 -0.000352431
-0.0442868 -0.0164412 -0.00158924 -0.000387552
-0.0453605 -0.0161277 -0.00152536 -0.000610318
-0.0461959 -0.0158862 -0.00134981 -0.000536552
-0.0470299 -0.0156469 -0.00130738 -0.000540526
-0.0480138 -0.0153567 -0.00141645 -0.000454546
-0.0488092 -0.0151242 -0.00152327 -0.00056463
-0.0496444 -0.014882 -0.00148284 -0.000596621
-0.0421268 -0.0288514 -0.00153902 -0.000676116
-0.0419644 -0.0299843 -0.00145941 -0.000471081
-0.0417799 -0.0311723 -0.00149998 -0.000500456
-0.0415357 -0.0326162 -0.00160457 -0.00061927
-0.041346 -0.0337728 -0.00163221 -0.000657876
-0.0411586 -0.0349722 -0.00156152 -0.000645179
-0.0409716 -0.0363985 -0.00154833 -0.000560307
-0.0408286 -0.0375734 -0.00164039 -0.000496444
-0.0395918 -0.0406877 -0.00164091 -0.00146156
-0.0392998 -0.0422194 -0.00151238 -0.00143401
-0.0390388 -0.0434603 -0.00138644 -0.00142886
-0.0387605 -0.0447513 -0.00134782 -0.00126286
-0.0384223 -0.0462906 -0.00140266 -0.00140725
-0.0381531 -0.0475429 -0.00140787 -0.00152646
-0.0378961 -0.0488279 -0.00134722 -0.00152668
-0.0375834 -0.0503733 -0.00122974 -0.00149357
-0.0373249 -0.0516275 -0.00117734 -0.00144232
-0.0561985 -0.0375391 -0.00182359 3.9798E-06
-0.05813 -0.0373179 -0.00181024 -0.000111591
-0.0596978 -0.0371357 -0.00174634 -0.000083013
-0.0613046 -0.0369491 -0.0016463 -7.34589E-05
-0.0632421 -0.0367226 -0.00157819 3.47537E-05
-0.0647938 -0.036542 -0.00155395 -1.32327E-05
-0.0664032 -0.0363528 -0.0014973 -6.35541E-05
-0.0683107 -0.036127 -0.00141309 5.11228E-05
-0.0698562 -0.035944 -0.00135542 2.54896E-05
-0.0688531 -0.0562289 -0.00280705 0.00334511
-0.0705187 -0.058416 -0.00297292 0.00322371
-0.0718725 -0.0601891 -0.00308108 0.00320799
-0.0732805 -0.0620317 -0.00317825 0.00323502
-0.0749473 -0.0642334 -0.00327904 0.00323396
-0.0762856 -0.0660141 -0.00337593 0.00325412
-0.0777188 -0.067929 -0.0034939 0.00321919
-0.0793224 -0.0700735 -0.00361418 0.0031913
-0.0806641 -0.07186 -0.00369979 0.0032121
-0.0820419 -0.0736976 -0.00377968 0.00320504
-0.0784147 -0.0608336 -0.00300437 0.00178521
-0.0794461 -0.0614382 -0.00306569 0.00179238
-0.0805226 -0.0620677 -0.00311998 0.00177423
-0.0817947 -0.0628108 -0.00316454 0.00177643
-0.0828313 -0.0634219 -0.00320651 0.00178842
-0.0839036 -0.0640566 -0.00328459 0.00184629
-0.0851635 -0.0648039 -0.00337816 0.0018045
-0.0861933 -0.0654155 -0.00343737 0.00177614
-0.0711127 -0.0609481 -0.00209723 0.00260302
-0.0703974 -0.061055 -0.00198891 0.00262929
-0.0698206 -0.0611437 -0.00191638 0.00266122
-0.0692218 -0.0612369 -0.00184445 0.0026107
-0.0685121 -0.0613471 -0.00173062 0.00254596
-0.0679414 -0.0614351 -0.00162592 0.00253607
-0.0673547 -0.0615259 -0.00152789 0.00255573
-0.0666513 -0.0616353 -0.00144409 0.00257004
-0.0660861 -0.0617231 -0.0013785 0.00256602
-0.0745236 -0.039446 -0.000667453 0.00223427
-0.0748533 -0.0369449 -0.000484907 0.00228869
