x y z yaw
-0.696135 -0.018589 -0.650021 -0.000819
-0.169423 -0.036915 -0.655276 0.045982
0.343222 0.003194 -0.669730 0.072045
0.847107 0.003943 -0.658617 0.119919
1.378330 0.110450 -0.664756 0.128595
1.896169 0.138101 -0.664904 0.136638
2.400505 0.234763 -0.657884 0.143503
2.899087 0.293185 -0.664910 0.151015
3.413958 0.388178 -0.666254 0.157438
3.927450 0.473186 -0.660958 0.165047
4.432711 0.570308 -0.660562 0.173434
4.962195 0.659483 -0.666423 0.175765
5.528012 0.769460 -0.640784 0.177391
5.984605 0.859989 -0.653924 0.178059
6.483679 0.938622 -0.659020 0.168670
7.008768 1.046909 -0.647648 0.144054
7.501788 1.120162 -0.653287 0.105536
8.012957 1.179380 -0.647586 0.105536
8.535750 1.238956 -0.646033 0.107981
9.050234 1.282223 -0.645335 0.078501
9.567074 1.358661 -0.659672 0.080949
10.074301 1.398409 -0.654282 0.084520
10.594846 1.430769 -0.660051 0.087899
11.132858 1.490510 -0.655296 0.088906
11.650452 1.544899 -0.639430 0.057084
12.173659 1.588818 -0.639157 0.032810
12.705755 1.611013 -0.614563 -0.008068
13.228437 1.620649 -0.629915 -0.033982
13.728743 1.584541 -0.614905 -0.120210
14.271079 1.551174 -0.621648 -0.123897
14.756054 1.487102 -0.603509 -0.160816
15.304967 1.402042 -0.595608 -0.168860
15.822594 1.343326 -0.609347 -0.205244
16.315476 1.255791 -0.601904 -0.254535
16.859697 1.128928 -0.597530 -0.275054
17.350908 1.004539 -0.572815 -0.307496
17.859507 0.816472 -0.576114 -0.348012
18.351958 0.657292 -0.560785 -0.368703
18.850858 0.448069 -0.567358 -0.410811
19.309020 0.258653 -0.563875 -0.454260
19.768745 0.037592 -0.562666 -0.471584
20.237119 -0.193088 -0.542919 -0.490399
20.714458 -0.456927 -0.554853 -0.506069
21.151518 -0.729436 -0.530859 -0.532842
21.605236 -0.988541 -0.527563 -0.566150
22.041681 -1.237258 -0.527097 -0.602972
22.487566 -1.524930 -0.519016 -0.637648
22.912808 -1.854514 -0.512424 -0.671583
23.319782 -2.180244 -0.499679 -0.752203
23.696218 -2.505590 -0.488396 -0.804904
24.074292 -2.916542 -0.490053 -0.830779
24.419981 -3.301714 -0.476365 -0.853476
24.753061 -3.689813 -0.475549 -0.870565
25.111528 -4.089094 -0.479528 -0.883978
25.427779 -4.500674 -0.467677 -0.946328
25.758816 -4.952875 -0.449319 -1.071960
26.038116 -5.387526 -0.479088 -1.228122
26.188481 -5.840977 -0.466406 -1.316894
26.352336 -6.349508 -0.465750 -1.352893
26.446709 -6.841793 -0.459633 -1.401549
26.529908 -7.351715 -0.449552 -1.396245
26.647588 -7.887051 -0.462009 -1.432354
26.720988 -8.425816 -0.465749 -1.441305
26.804739 -8.913938 -0.472947 -1.439364
26.851627 -9.411347 -0.445999 -1.436076
26.922886 -9.853494 -0.441373 -1.436057
26.988816 -10.222588 -0.456812 -1.432249
27.027946 -10.764572 -0.368782 -1.426156
27.116901 -11.229553 -0.435608 -1.426595
27.185303 -11.760057 -0.424412 -1.419863
27.285290 -12.278478 -0.420024 -1.415172
27.360175 -12.789119 -0.417487 -1.411093
27.461466 -13.337025 -0.425617 -1.413471
27.527626 -13.827328 -0.412689 -1.424951
27.609415 -14.355039 -0.422213 -1.420556
27.682358 -14.867965 -0.421301 -1.415485
27.766248 -15.384652 -0.416185 -1.413408
27.858551 -15.871112 -0.414327 -1.433107
27.915843 -16.390252 -0.423996 -1.431815
28.000172 -16.903993 -0.401297 -1.455718
28.063258 -17.426268 -0.414961 -1.454149
28.162529 -17.957102 -0.403527 -1.483645
28.192683 -18.458296 -0.416569 -1.503062
28.236531 -18.984575 -0.410638 -1.501822
28.277224 -19.526815 -0.421639 -1.499722
28.316939 -20.050569 -0.413192 -1.496432
28.357999 -20.532318 -0.404594 -1.479114
28.398907 -21.063622 -0.422296 -1.450985
28.457938 -21.577558 -0.406854 -1.442603
28.542818 -22.094528 -0.404756 -1.435080
28.604491 -22.613648 -0.398328 -1.426824
28.680389 -23.136527 -0.379821 -1.419564
