x y s dx dy
0.110316 2.27968 2.28234 -0.974694 0.223544
1.12714 2.0586 3.32292 -0.964787 0.263033
2.10693 1.79563 4.33739 -0.968146 0.250386
3.08964 1.55463 5.34922 -0.974874 0.222758
4.07482 1.37998 6.34976 -0.982178 0.187951
5.08126 1.18639 7.37465 -0.983338 0.181788
6.10881 0.995495 8.41978 -0.980273 0.197647
7.0987 0.789181 9.43094 -0.977096 0.212798
8.10098 0.572351 10.4564 -0.97705 0.213009
9.09536 0.384519 11.4684 -0.982588 0.185799
10.0956 0.206241 12.4844 -0.986054 0.166424
11.1268 0.0414345 13.5287 -0.988547 0.150915
12.1493 -0.128291 14.5651 -0.991164 0.132641
13.1759 -0.27408 15.6021 -0.992645 0.121064
14.2122 -0.411662 16.6474 -0.993608 0.112888
15.2209 -0.515504 17.6615 -0.994944 0.100435
16.2216 -0.639266 18.6698 -0.997962 0.0638158
17.2405 -0.703973 19.6908 -0.999861 0.0166499
18.2726 -0.781804 20.7258 -0.991851 0.127404
19.2692 -0.965307 21.7391 -0.987731 0.156163
20.2949 -1.14194 22.78 -0.989915 0.141661
21.3074 -1.2936 23.8037 -0.992675 0.120817
22.3369 -1.42896 24.8421 -0.99495 0.100368
23.3411 -1.5577 25.8545 -0.992888 0.119055
24.3629 -1.72848 26.8905 -0.988543 0.150941
25.3711 -1.91686 27.9162 -0.986324 0.164818
26.3621 -2.0901 28.9222 -0.98843 0.151675
27.3662 -2.25559 29.9398 -0.991261 0.131913
28.3606 -2.40901 30.946 -0.988074 0.153982
29.3786 -2.58176 31.9786 -0.987045 0.160442
30.3896 -2.74152 33.0021 -0.990823 0.135169
31.3917 -2.87705 34.0133 -0.99324 0.116083
32.3981 -3.00135 35.0273 -0.994357 0.106085
33.4333 -3.10855 36.068 -0.99497 0.100169
34.4514 -3.21344 37.0915 -0.995584 0.0938783
35.4865 -3.32341 38.1325 -0.987271 0.159045
36.5001 -3.50223 39.1617 -0.983919 0.178617
37.5041 -3.67782 40.181 -0.984511 0.175322
38.5386 -3.82618 41.226 -0.998967 0.0454315
39.5496 -3.75265 42.2397 -0.992019 -0.126091
40.5679 -3.56367 43.2754 -0.965168 -0.261633
41.5035 -3.20329 44.2781 -0.879352 -0.476172
42.3352 -2.58767 45.3128 -0.714274 -0.699866
42.9155 -1.78086 46.3066 -0.482442 -0.875928
43.2603 -0.85307 47.2964 -0.260531 -0.965466
43.4052 0.142322 48.3023 -0.132989 -0.991117
43.5057 1.13877 49.3038 -0.111921 -0.993717
43.6595 2.11821 50.2952 -0.182787 -0.983153
43.8926 3.1063 51.3104 -0.244013 -0.969772
44.1569 4.07967 52.3191 -0.244993 -0.969525
44.4107 5.04173 53.314 -0.244197 -0.969726
44.6613 6.02362 54.3274 -0.221883 -0.975073
44.8718 7.00087 55.3271 -0.202806 -0.979219
45.0615 7.98079 56.3252 -0.183821 -0.98296
45.2393 8.97749 57.3376 -0.177031 -0.984205
45.3843 9.96416 58.3349 -0.0692204 -0.997601
45.2097 10.9581 59.344 0.2913 -0.956632
44.8017 11.8856 60.3573 0.556831 -0.830626
44.0893 12.5734 61.3475 0.826588 -0.562807
43.1819 13.0465 62.3709 0.918554 -0.395296
42.2051 13.3341 63.3891 0.967697 -0.252117
41.2306 13.5462 64.3864 0.977056 -0.212984
41.1836 13.5524 64.4339 0.977054 -0.212992
