x y s dx dy
0.95795 -2.9025 3.98184 -0.992982 -0.118268
1.95289 -2.78024 4.98426 -0.996887 -0.0788485
2.98663 -2.7499 6.01845 -0.999125 -0.0418127
3.9956 -2.68845 7.02929 -0.996509 -0.0834901
5.00086 -2.59186 8.03918 -0.991026 -0.133671
6.04087 -2.4356 9.09087 -0.99253 -0.121999
7.04969 -2.3554 10.1029 -0.996966 -0.077839
8.07793 -2.24775 11.1367 -0.993202 -0.116404
9.11445 -2.11149 12.1822 -0.992392 -0.123117
10.1459 -2.00067 13.2195 -0.994789 -0.101959
11.1836 -1.85026 14.2681 -0.99084 -0.135041
12.1885 -1.69138 15.2854 -0.989026 -0.147743
13.1959 -1.54271 16.3038 -0.992518 -0.122101
14.2096 -1.42937 17.3238 -0.996726 -0.0808562
15.2294 -1.34106 18.3474 -0.995488 -0.0948918
16.2459 -1.20744 19.3727 -0.989258 -0.14618
17.2615 -1.06606 20.3981 -0.990469 -0.137739
18.2977 -0.925445 21.4437 -0.992826 -0.119567
19.3378 -0.810449 22.4902 -0.994692 -0.102894
20.3593 -0.71557 23.5161 -0.996278 -0.0862036
21.4054 -0.605581 24.5679 -0.993575 -0.113176
22.4195 -0.462012 25.5922 -0.99308 -0.117442
23.4119 -0.352756 26.5906 -0.994427 -0.10543
24.4357 -0.241216 27.6204 -0.995043 -0.0994472
25.4528 -0.131293 28.6435 -0.995164 -0.0982316
26.4944 -0.00272254 29.6929 -0.992071 -0.125681
27.5409 0.0878943 30.7433 -0.998128 -0.0611627
28.5505 0.173417 31.7566 -0.996097 -0.0882609
29.5545 0.298836 32.7684 -0.989999 -0.141076
30.5545 0.486888 33.7859 -0.984044 -0.177923
31.5699 0.607963 34.8085 -0.99548 -0.0949675
32.5979 0.729894 35.8437 -0.994256 -0.107027
33.6306 0.844539 36.8828 -0.995634 -0.0933429
34.6324 0.892918 37.8858 -0.999632 -0.0271169
35.6583 0.931314 38.9123 -0.998712 -0.0507429
36.7023 1.0069 39.9591 -0.99582 -0.0913396
37.7444 1.12262 41.0076 -0.997648 -0.0685509
38.7602 1.05956 42.0253 -0.992467 0.122508
39.7358 0.815269 43.031 -0.947024 0.321163
40.6941 0.449647 44.0568 -0.936649 0.350269
41.6828 0.0757936 45.1138 -0.923346 0.383969
42.5413 -0.439675 46.1151 -0.816502 0.577342
43.2636 -1.15034 47.1284 -0.675743 0.737137
43.839 -2.00444 48.1582 -0.349859 0.936802
44.0049 -2.98995 49.1576 -0.186009 0.982548
44.1901 -4.00861 50.193 -0.111713 0.993741
44.2917 -5.0304 51.2198 -0.119646 0.992817
44.4388 -6.02867 52.2288 -0.136495 0.990641
44.6285 -7.02153 53.2397 -0.139075 0.990282
44.6862 -8.04162 54.2614 -0.0344666 0.999406
44.7817 -9.06941 55.2936 -0.113822 0.993501
44.916 -10.1219 56.3546 -0.103653 0.994614
45.0416 -11.1697 57.4099 -0.093028 0.995663
45.1363 -12.1959 58.4405 -0.0749803 0.997185
45.0587 -13.1983 59.4459 0.294217 0.955739
44.666 -14.1619 60.4864 0.453872 0.891067
44.0582 -14.9999 61.5217 0.653662 0.756787
43.3245 -15.7565 62.5756 0.723725 0.690089
42.5228 -16.4001 63.6036 0.858074 0.513525
41.6192 -16.8935 64.6332 0.90668 0.42182
40.6183 -17.2245 65.6874 0.971166 0.238404
39.6109 -17.394 66.709 0.99717 0.0751785
38.5894 -17.475 67.7337 0.99782 0.0659989
37.5805 -17.5388 68.7446 0.998424 0.0561191
36.528 -17.6292 69.801 0.994139 0.108108
35.4965 -17.8029 70.847 0.986628 0.162987
34.4677 -17.9688 71.8891 0.992113 0.12535
33.4231 -18.0942 72.9412 0.993972 0.10963
32.3995 -18.2247 73.973 0.99664 0.0819108
31.3966 -18.3053 74.9792 0.996444 0.0842519
30.3572 -18.4394 76.0272 0.992961 0.118444
29.3178 -18.5681 77.0745 0.993958 0.109763
28.2915 -18.6726 78.1061 0.996682 0.0813973
27.2708 -18.7806 79.1325 0.997364 0.0725548
26.2699 -18.8494 80.1358 0.99397 0.109656
25.2497 -18.9904 81.1657 0.990635 0.136539
24.2338 -19.1659 82.1966 0.992176 0.124845
23.2095 -19.2865 83.228 0.994273 0.106874
22.1519 -19.3961 84.2913 0.99669 0.0812951
21.1508 -19.479 85.2958 0.997046 0.0768122
20.135 -19.5845 86.3171 0.996846 0.079359
19.0798 -19.6933 87.3778 0.995783 0.0917423
18.0596 -19.8005 88.4036 0.995805 0.0915033
17.0657 -19.9162 89.4043 0.995932 0.0901106
16.0645 -20.0281 90.4117 0.995179 0.0980765
15.0439 -20.1752 91.4428 0.994351 0.106138
14.0396 -20.2942 92.4542 0.993441 0.11435
13.0378 -20.3946 93.461 0.998878 0.0473543
12.0105 -20.4346 94.4891 0.998735 0.0502771
10.9596 -20.5027 95.5422 0.99876 0.0497924
9.91895 -20.5775 96.5855 0.997741 0.0671795
8.87266 -20.6631 97.6353 0.997882 0.0650484
8.81392 -20.665 97.6941 0.997919 0.0644846
7.81578 -20.7513 98.696 0.997843 0.0656411
6.78311 -20.8354 99.732 0.996529 0.0832461
5.76075 -20.9384 100.76 0.996006 0.0892913
4.75898 -21.0492 101.767 0.996 0.0893581
3.74393 -21.1707 102.79 0.997747 0.0670902
2.73733 -21.1679 103.796 0.998004 -0.0631569
1.70406 -20.9865 104.845 0.970816 -0.239826
0.711545 -20.6392 105.897 0.885375 -0.464877
-0.132441 -20.039 106.933 0.689448 -0.724335
-0.749553 -19.2052 107.97 0.493492 -0.86975
-1.10232 -18.2198 109.017 0.197256 -0.980352
-1.19316 -17.1979 110.042 0.0175821 -0.999845
-1.19629 -17.1371 110.103 0.0176047 -0.999845
-1.19743 -17.0885 110.152 0.0171448 -0.999853
-1.20542 -16.0243 111.216 -0.00574854 -0.999983
-1.26888 -15.0217 112.221 0.107816 -0.994171
-1.43918 -14.0093 113.247 0.174842 -0.984597
-1.64307 -12.9966 114.281 0.189024 -0.981973
-1.83582 -11.9885 115.307 0.16542 -0.986223
-1.99046 -10.9643 116.343 0.131929 -0.991259
-2.11206 -9.93443 117.38 0.0898308 -0.995957
-2.22625 -8.93585 118.385 0.115159 -0.993347
-2.38976 -7.90684 119.427 0.128812 -0.991669
-2.333 -6.80953 120.525 -0.235949 -0.971765
-1.96534 -5.86082 121.543 -0.448986 -0.893539
-1.45192 -4.97059 122.571 -0.556214 -0.831039
-0.890084 -4.14228 123.571 -0.563261 -0.826279
-0.154654 -3.42596 124.598 -0.905534 -0.424274
