x y s dx dy
-0.00353387 -0.000591981 0.00358311 -0.999999 0.00100616
1.02342 -0.0336245 1.03107 -0.999907 0.0136402
2.0404 -0.041683 2.04808 -1 -0.000208303
3.08596 -0.0440664 3.09364 -0.999967 -0.00813766
4.08612 -0.0328555 4.09387 -0.998851 -0.0479216
5.12263 0.0210802 5.13178 -0.996308 -0.0858476
6.13501 0.113045 6.14832 -0.994781 -0.102035
7.15113 0.219036 7.16996 -0.993388 -0.114804
8.16839 0.328726 8.19312 -0.993363 -0.115026
9.18459 0.419084 9.21332 -0.996247 -0.0865583
10.2021 0.4709 10.2322 -0.998869 -0.0475457
11.2272 0.479238 11.2572 -0.999924 -0.0123158
12.2417 0.4632 12.2719 -0.999996 0.00279274
